station,avg_total,std_total,cluster,pca1,pca2
4.19민주묘지,6772.2007952286285,2109.5275451117054,0,-0.9394811716804299,0.15072985640104353
가능,12274.711729622266,2479.7187915690256,0,-0.6993457394903998,-0.023596515668569386
가락시장,16811.965208747515,4602.294696281973,0,-0.3398019209527499,-0.005809085398564496
가산디지털단지,54593.82306163022,35158.11851488885,2,3.7990674761481253,1.287243708938446
가양,41769.697813121275,10526.924591669702,1,1.1267470733005904,-0.41913402665760396
가오리,8241.453280318092,1819.824868249628,0,-0.9098977160409976,0.06964582893255757
가좌,11154.194831013916,2697.0925325794697,0,-0.7222243844201752,0.037924754465488285
가천대,18923.216699801193,8337.778816709753,0,0.07173956750678637,0.2467080753202411
가평,4370.131212723658,1249.167515090307,0,-1.1064191697702732,0.16472127489798008
간석,10784.705765407554,2247.405430320401,0,-0.7761103050023688,0.011869601802031763
갈매,5034.681908548708,1344.0321367705635,0,-1.0729593621427893,0.14812559264137093
강남,149472.29423459244,44214.058648265906,2,8.17723924864256,-1.4810496172458933
강남구청,24942.916500994037,11044.070932729033,1,0.5389977660516341,0.2605486122827888
강동,34683.52882703777,8590.726658703896,1,0.6877744066086596,-0.3243601150549948
강동구청,20156.614314115308,5977.098174199403,0,-0.09163887333762494,-0.009572716231538762
강매,5714.61829025845,1591.8177478761954,0,-1.0253276962023568,0.14454288338015786
강변(동서울터미널),55883.4592445328,7999.7063522942735,1,1.4336552445863793,-1.1753068919200134
강일,11039.540755467197,2814.309901369294,0,-0.7161234975065716,0.05266165057260231
강촌,1037.3618290258448,313.28872465228864,0,-1.3151208963519403,0.20705141875109834
개롱,12808.333996023857,3374.4213834500565,0,-0.5997230741317197,0.03583249083820061
개봉,41174.1212723658,8851.57520314307,1,0.9554031770015817,-0.5456177253851141
개포동,8760.316103379722,2263.173020560988,0,-0.8509496465902994,0.08951195481723669
개화,4346.735586481113,1287.3838073381291,0,-1.103903412501821,0.16899924465085642
개화산,11189.801192842942,2857.5191250520825,0,-0.7066238549800902,0.050843330676814104
거여,18889.435387673955,5347.967194257718,0,-0.19528273684260178,-0.01776974274980166
건대입구,50763.45825049702,25062.640923324285,2,2.7574727858560095,0.5341609233972929
검암,11655.984990619138,3924.080120136181,0,-0.5942653282292056,0.12808781944637737
경기광주,14708.328031809146,3520.526395490329,0,-0.5151805334402079,-0.02273689783184358
경마공원,11288.628230616303,11055.575760194519,0,0.025784145566343706,0.775807450988652
경복궁(정부서울청사),51371.65407554672,11796.888665190605,1,1.601248845082018,-0.6678737285227123
경찰병원,13916.2027833002,4637.424786670301,0,-0.4457371247933034,0.10637121000621551
계양,20892.618644067796,10235.232830873876,1,0.31456512982928503,0.3411937446620214
고덕,19769.415506958252,5780.971425791243,0,-0.12365399557897513,-0.012423132007988636
고려대(종암),16671.882703777337,4822.66414199177,0,-0.32549000303105224,0.019054169621302602
고색,9895.31212723658,3383.9659345518266,0,-0.7085824647618414,0.1463886205006192
고속터미널,55558.81312127237,31446.20354419651,2,3.505475738166428,0.9209666958195385
고잔,16924.614314115308,3873.806640862539,0,-0.40031124628045106,-0.07480340094539277
곡산,1262.6819085487077,336.43193135165353,0,-1.3045779935303143,0.20062269392701532
곤지암,4636.763419483102,716.0886494550268,0,-1.1437603254171431,0.10729676697705837
공덕,19197.108349900598,14603.844188542682,1,0.6390152362834537,0.793353593820913
공릉(서울과학기술대),23562.751491053677,5516.461701945966,0,-0.004303596261864217,-0.1787955408554508
