station,line,date,total
광흥창(서강),6호선,2024-12-14,25551.0
교대(법원.검찰청),2호선,2024-12-20,87393.0
구로,경부선,2024-03-28,42185.0
구로디지털단지,2호선,2025-04-30,135775.0
구룡,분당선,2024-03-28,10677.0
구리,중앙선,2024-05-10,33694.0
구반포,9호선,2025-01-23,5439.0
구산,6호선,2024-03-28,20747.0
구성,분당선,2024-11-28,24427.0
구의(광진구청),2호선,2024-03-28,59909.0
구일,경인선,2024-07-24,51225.0
구파발,3호선,2024-03-15,56645.0
국수,중앙선,2025-04-30,1951.0
국회의사당,9호선,2024-12-07,90183.0
군자(능동),7호선,2024-03-28,33031.0
군포,경부선,2024-11-28,22967.0
굴봉산,경춘선,2024-04-27,798.0
굽은다리(강동구민회관앞),5호선,2025-02-07,24076.0
금곡,경춘선,2025-05-08,4136.0
금릉,경의선,2024-05-14,14319.0
금정,경부선,2024-11-28,73728.0
금천구청,경부선,2024-03-28,31736.0
금촌,경의선,2025-04-11,18468.0
금호,3호선,2024-03-28,19440.0
기흥,분당선,2024-11-28,30150.0
길동,5호선,2025-04-25,21242.0
길음,4호선,2024-03-28,63815.0
김유정,경춘선,2025-05-04,2114.0
김포공항,5호선,2024-12-24,25273.0
까치산,5호선,2024-03-28,66277.0
까치울,7호선,2024-01-06,1.0
낙성대(강감찬),2호선,2024-03-28,65693.0
남구로,7호선,2024-03-28,37219.0
남동인더스파크,수인선,2024-11-28,6929.0
남부터미널(예술의전당),3호선,2024-12-20,80202.0
남성,7호선,2024-03-28,28092.0
남영,경부선,2024-03-28,26614.0
남위례,8호선,2024-11-27,20073.0
남춘천,경춘선,2024-10-27,11216.0
남태령,4호선,2024-12-22,19822.0
남한산성입구(성남법원.검찰청),8호선,2024-11-27,34433.0
내방,7호선,2024-03-28,36101.0
노들,9호선,2024-10-05,39254.0
노량진,9호선,2024-10-05,70486.0
노원,4호선,2024-05-10,75249.0
녹번,3호선,2024-03-28,37849.0
녹사평(용산구청),6호선,2025-03-22,15679.0
녹양,경원선,2024-05-24,11318.0
녹천,경원선,2024-03-28,10326.0
논현,7호선,2025-03-21,46524.0
능곡,경의선,2024-05-09,11551.0
단대오거리,8호선,2024-11-28,33079.0
달월,수인선,2024-03-27,248.0
답십리,5호선,2024-03-28,39368.0
당고개,4호선,2024-05-10,21579.0
당곡,신림선,2024-03-28,12467.0
당산,9호선,2024-12-14,62069.0
